,CURROPER
47938,True
73728,True
73719,True
73083,True
54084,True
75692,True
71280,True
54170,True
54516,True
68583,True
49699,True
55891,True
74611,True
76052,True
64794,True
55762,True
71798,True
59899,True
50182,True
50103,True
51609,True
73981,True
49149,True
58110,True
48666,True
49009,True
75492,True
60544,True
74027,True
64175,True
74248,True
63737,True
61034,False
68917,True
71544,True
47974,True
50046,True
56893,True
61500,True
48092,True
75326,True
75189,True
73017,True
63172,True
65293,True
78043,True
72981,True
78586,True
57662,True
72386,True
72303,True
54663,True
52349,True
76592,True
49920,True
72484,True
71848,True
49345,True
63254,True
75936,True
73785,True
62131,True
48794,True
65196,False
70974,True
78479,True
74281,True
55501,True
66416,True
75077,True
66753,True
57697,True
67247,True
49580,True
60394,True
74828,True
69024,True
57645,True
50243,True
64433,True
74107,True
71487,True
67672,True
61370,True
49438,True
56416,True
74131,True
62871,True
67388,True
66782,False
72002,True
57893,False
59653,True
63966,False
52966,True
67427,True
76523,True
54293,True
73192,True
70550,True
70193,True
74217,True
65135,True
77197,False
62861,True
77879,True
69518,True
53803,False
51697,False
63920,True
55508,True
51373,True
66336,True
62448,True
78129,True
56966,True
56783,True
51166,True
68069,True
48188,True
73389,True
55649,True
50320,True
48900,True
67653,True
56642,True
55885,True
49626,True
54783,True
74898,True
73415,True
64376,True
60078,False
51081,True
75045,True
58486,True
78165,False
52633,False
77373,True
50121,True
58759,False
70632,False
68875,True
78048,True
73129,True
60251,True
75291,True
64543,True
66476,True
51684,True
66295,True
51972,True
57478,True
49804,True
64315,True
62142,False
68685,False
63727,True
60283,True
65986,True
74815,True
55291,True
62941,True
51188,True
53874,False
58978,True
62578,False
63010,True
66031,True
78175,True
70802,False
61727,True
60075,False
61863,True
60685,True
76376,True
49766,True
77659,True
71996,True
48471,True
60340,True
68050,True
70902,True
60086,True
56698,True
70061,True
76069,True
74228,True
70666,True
55341,True
74730,True
58265,True
70784,True
74208,True
72482,True
56157,True
73568,True
70604,True
78345,True
76365,True
55573,True
70590,True
62472,True
58698,True
75016,True
60440,True
71230,True
65913,True
68089,True
52134,True
52305,True
69314,True
62827,True
57853,True
58305,True
69283,False
58607,True
64025,True
67352,True
69359,True
51178,True
72757,True
57590,True
72061,True
65141,True
56202,True
61111,False
78492,True
63417,True
60184,False
56494,True
77473,True
56587,True
54074,False
69504,False
65013,True
50960,True
71642,True
50764,True
73127,True
72195,True
59686,True
72018,True
59545,True
72888,True
71320,True
52247,True
50988,True
70900,False
58680,True
51893,True
63382,False
68185,True
52131,True
60856,True
55428,True
62981,True
51453,True
54886,True
57008,True
66535,True
50171,True
65215,True
56025,True
73183,True
66259,True
63202,True
67517,True
60935,True
61757,True
73377,True
59254,True
56511,True
72279,True
49513,True
56495,True
66267,True
70728,True
74506,True
61411,True
74040,False
51247,True
73191,True
60940,False
60724,True
59561,True
61596,False
60885,True
77849,True
74034,True
78428,True
70731,True
53409,True
48627,True
67407,True
51905,True
65382,True
69483,True
55066,False
67845,True
65717,True
70638,True
53472,True
78156,True
72432,True
75929,True
48975,False
76448,True
48412,True
67659,True
53601,False
53703,True
67011,True
74309,True
56317,True
51932,True
54596,False
69213,True
71968,True
50032,True
75103,True
60462,False
77319,True
76676,False
74590,True
49281,True
75557,True
74613,True
69235,True
57739,True
55385,True
78488,True
55986,True
57629,True
56514,True
72642,True
72075,True
68456,True
54569,False
53059,True
49869,True
59599,True
56558,True
48461,True
77421,True
75974,True
51183,True
55096,False
61403,False
53249,True
68116,True
57703,True
75592,True
68995,True
61160,True
54295,True
59387,True
55637,True
56302,True
67825,True
52899,True
58889,True
48615,True
69482,True
78337,True
66791,True
60202,True
52505,True
69564,False
50990,True
72616,True
66473,True
74482,True
64298,True
54479,True
60454,True
64154,True
48147,True
71637,True
51700,True
56517,True
49615,True
63808,True
52012,True
60456,False
61922,True
65801,True
61807,True
71799,True
63473,True
74112,False
69772,True
77305,True
51296,True
62568,True
