,CURROPER
10080,True
52173,True
21080,True
53090,True
65675,True
44600,True
2988,True
24808,True
71126,True
52729,True
11150,True
19795,False
71334,True
47420,True
9361,True
33230,True
29019,True
74413,True
59462,True
73936,True
19197,True
44946,True
73969,True
67408,True
57809,True
51284,True
13462,True
43972,True
28427,True
40398,True
66881,True
18114,True
69986,True
32587,True
35579,False
21382,False
23505,True
14613,True
53240,True
9483,True
53634,True
25248,True
69917,True
71078,True
2112,True
47867,True
3457,True
52084,True
25781,True
21131,True
76738,True
41119,True
44735,True
39047,True
13374,True
25393,True
55930,True
75857,True
173,True
36962,True
69426,True
2939,True
10353,True
63243,True
10658,True
49340,True
23165,True
48044,True
54949,False
17849,True
9090,True
51251,True
48153,True
10259,True
26334,False
9141,True
67792,True
272,True
62358,True
21051,True
54035,True
13757,False
3046,True
10115,True
28124,True
2997,True
6116,False
28056,True
40056,True
67805,True
68107,True
29745,True
25661,True
72239,True
41635,True
68837,True
21277,True
72637,True
69501,True
22257,True
58442,True
29498,True
48720,True
4885,True
27898,False
50491,True
60093,True
53028,True
52516,True
5116,False
60574,True
56009,True
61589,True
24261,True
66767,True
13482,True
214,True
43031,True
39635,True
39016,True
9542,True
68111,True
8176,True
51050,True
7026,True
50225,True
66348,True
4076,True
10543,True
26663,True
40536,False
66911,True
62864,True
77913,True
75362,True
77256,True
19445,True
42348,True
27975,True
42059,True
16333,True
15956,True
69137,False
49647,True
32582,False
44013,True
40376,False
1652,False
15263,True
42485,True
27103,True
18407,True
58893,True
47985,True
15063,True
31031,True
76920,True
58120,True
62694,True
52767,False
51166,True
43143,True
28808,True
1007,True
29493,True
60271,True
13609,True
9716,True
35405,True
57722,True
31946,True
17912,True
3982,True
52544,False
36509,True
63610,False
1473,True
10058,True
25007,True
5020,True
69801,True
35012,False
21671,True
17479,True
72325,True
45425,True
41999,True
12031,False
41938,True
76318,True
4874,True
67161,True
76327,True
62451,True
402,True
10228,False
32976,True
12738,False
24926,True
68690,True
34995,True
63219,True
23246,True
4686,True
26332,True
76827,True
66105,False
30059,True
60842,True
53929,True
37344,True
1338,False
75817,True
14816,True
11374,True
23845,True
18011,True
18057,True
3011,True
26715,False
52359,True
4893,False
35373,False
63249,True
49468,False
55860,True
26751,False
45395,True
35930,True
36852,True
23314,True
77641,True
11761,True
62983,False
20441,True
20159,False
17005,True
12816,False
23127,True
6630,True
34823,True
62312,False
74473,True
26510,False
68995,True
30716,True
55803,True
12898,True
15385,True
2761,True
76753,True
38527,False
57023,True
46402,False
67032,True
46382,True
29895,True
73935,True
24337,True
73483,True
13054,False
3393,False
30027,True
73799,True
36024,True
49860,True
49557,False
6621,True
42356,True
41921,True
10812,True
27693,True
15518,True
16722,True
19187,True
56051,True
22777,True
15281,True
29351,True
32942,False
5764,False
27781,True
21347,True
61729,True
16738,True
9457,True
22450,True
20271,True
52593,True
56154,True
57389,True
23244,False
14627,True
20548,True
55309,True
10369,True
70039,True
8125,True
28455,True
68096,True
35939,True
64472,True
8878,True
48844,True
13708,True
25958,True
9788,True
60631,True
5550,False
13621,False
58462,True
51248,True
72156,True
51276,True
6402,True
31684,True
4046,True
65804,True
54138,True
25688,True
21703,False
21027,True
22198,False
1145,True
38254,True
36115,True
51735,True
43939,True
45386,True
16998,True
24085,True
43412,False
50095,True
28453,True
26310,False
49269,True
45924,True
6045,False
63239,True
30623,True
62257,True
9738,False
49411,True
69655,True
48026,True
24993,True
68988,True
3925,True
73415,True
68074,True
30786,True
64061,False
15198,True
64671,True
27011,True
61989,True
67603,True
56540,True
31156,True
57554,True
15066,True
58402,True
67311,True
65650,True
23604,True
42439,False
78488,True
74444,False
36393,True
74914,True
13934,True
45993,False
5407,False
4531,True
54283,True
34235,False
77385,True
25571,False
50783,True
38619,True
43261,True
61022,False
33266,True
73470,True
31485,True
34943,True
71438,True
65754,True
49623,True
35127,True
77575,False
17086,True
8267,True
20096,True
53543,True
6499,False
51823,True
43354,True
3004,False
52404,True
53065,False
49349,True
54447,True
56749,True
6216,False
37347,True
15278,True
62529,True
46066,True
73719,True
53961,True
30603,True
52959,True
64848,True
65153,True
67100,True
76543,True
74362,True
59713,True
76347,True
67058,True
49522,True
39259,True
730,True
75467,True
18906,True
52256,True
57654,False
69436,True
74158,True
65809,True
71315,True
21002,True
34380,True
64871,True
48311,True
24529,True
48332,True
65826,True
